City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Alfred,ZA,73.72,clear sky,-33.5906,26.891,The Halyards Hotel
3,Malmesbury,ZA,71.78,clear sky,-33.4608,18.7271,SuNel's Guest Rooms
4,Rikitea,PF,79.41,light rain,-23.1203,-134.9692,People ThankYou
6,Bloomfield,US,57.97,clear sky,40.8068,-74.1854,Troy Carroll
10,Lebu,CL,60.51,clear sky,-37.6167,-73.65,Hostal Las Lilas
11,Bredasdorp,ZA,68.95,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
13,Hobart,AU,55.26,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
22,Ushuaia,AR,51.42,broken clouds,-54.8,-68.3,Albatross Hotel
23,Ponta Delgada,PT,63.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
24,Lata,PT,56.8,light rain,40.1629,-8.3327,Casa Maquia
25,Hilo,US,73.62,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Mataura,NZ,52.86,clear sky,-46.1927,168.8643,Ellie's Villa
28,Ucluelet,CA,50.31,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
29,Padang,ID,77.11,light rain,-0.9492,100.3543,Mercure Padang
30,Busselton,AU,54.54,clear sky,-33.65,115.3333,Observatory Guest House
31,Constitucion,CL,65.23,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
32,San Bartolome De Tirajana,ES,59.47,few clouds,27.9248,-15.5733,Las Tirajanas
33,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
35,Atuona,PF,78.98,overcast clouds,-9.8,-139.0333,Villa Enata
37,Ribeira Grande,PT,63,few clouds,38.5167,-28.7,Quinta da Meia Eira
38,Florianopolis,BR,75.63,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
44,Geraldton,AU,61.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
45,Mehran,IR,67.23,clear sky,33.1222,46.1646,بوتیک زنانه بهار
49,Richards Bay,ZA,71.91,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
50,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
51,Coihaique,CL,61.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
52,Inhambane,MZ,76.98,broken clouds,-23.865,35.3833,Oceano
57,Port Elizabeth,ZA,71.31,clear sky,-33.918,25.5701,39 On Nile Guest House
58,Bluff,NZ,57.13,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
59,Lagoa,PT,58.84,broken clouds,39.05,-27.9833,Casa Das Faias
63,Castro,BR,73.96,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
66,Saint George,US,61.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
67,Codrington,AU,56.84,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
68,Gorontalo,ID,75.25,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
69,Chiredzi,ZW,69.46,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
70,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
71,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
73,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
76,Mar Del Plata,AR,73.87,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
79,Mayumba,GA,79.83,overcast clouds,-3.432,10.6554,LIKWALE LODGE
83,Kimbe,PG,75.52,light rain,-5.5502,150.1429,Kimbe Bay Hotel
84,Punta Arenas,CL,53.71,clear sky,-53.15,-70.9167,Hotel Hain
85,Kruisfontein,ZA,68.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
86,Rovinj,HR,53.42,clear sky,45.08,13.64,Hotel Monte Mulini
89,Kailua,US,74.14,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
94,Portland,US,58.28,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
95,Bengkulu,ID,76.24,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
96,Nangka,PH,78.8,broken clouds,9.4006,122.8169,HOTEL MAEFINN
98,Along,IN,65.28,scattered clouds,28.1667,94.7667,Hotel West
100,Esperance,AU,58.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
101,Pemangkat,ID,77.49,overcast clouds,1.1667,108.9667,Ramah Kost KITA
104,Laguna,US,73.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
105,Broken Hill,AU,64.11,light rain,-31.95,141.4333,Royal Exchange Hotel
106,Alice Springs,AU,69.22,few clouds,-23.7,133.8833,Desert Palms Alice Springs
110,Hamilton,US,59.23,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
111,Kuito,AO,62.51,moderate rain,-12.3833,16.9333,Herdeiros de Antunes Capusso
112,Hermanus,ZA,72.81,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
113,Sao Filipe,CV,71.2,clear sky,14.8961,-24.4956,Hotel Xaguate
115,Ponta Do Sol,PT,66.06,broken clouds,32.6667,-17.1,Hotel do Campo
116,Havelock,US,69.98,broken clouds,34.8791,-76.9013,Sherwood Motel
117,Chokwe,MZ,72.36,clear sky,-24.5333,32.9833,Complexo Sonho Real
123,New Norfolk,AU,54.9,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
