City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Bredasdorp,-34.5322,20.0403,284.7,86,100,2.54,ZA,2022-08-11 19:33:45,overcast clouds
1,Mataura,-46.1927,168.8643,271.41,94,17,1.37,NZ,2022-08-11 19:34:10,few clouds
2,Novyy Urengoy,66.0833,76.6333,286.82,57,100,6.29,RU,2022-08-11 19:37:47,overcast clouds
3,Primo Tapia,32.22,-116.9172,304.92,48,3,6.46,MX,2022-08-11 19:39:58,clear sky
4,Petropavlovsk-Kamchatskiy,53.0452,158.6483,283.48,100,100,3.0,RU,2022-08-11 19:38:31,fog
5,Hobart,-42.8794,147.3294,279.85,90,86,2.06,AU,2022-08-11 19:32:26,overcast clouds
6,Agua Branca,-5.8922,-42.6361,307.85,22,12,1.41,BR,2022-08-11 19:39:58,few clouds
7,Yellowknife,62.456,-114.3525,290.44,39,20,6.17,CA,2022-08-11 19:31:01,few clouds
8,Borba,-4.3878,-59.5939,309.67,26,64,1.21,BR,2022-08-11 19:39:59,broken clouds
9,Muzhi,65.3667,64.6667,285.73,98,100,2.84,RU,2022-08-11 19:39:59,overcast clouds
10,Tongliao,43.6125,122.2653,293.11,59,91,1.52,CN,2022-08-11 19:40:00,overcast clouds
11,Punta Arenas,-53.15,-70.9167,277.21,60,40,5.14,CL,2022-08-11 19:31:16,scattered clouds
12,Barrow,71.2906,-156.7887,280.16,87,100,9.26,US,2022-08-11 19:36:10,mist
13,Nikolskoye,59.7035,30.7861,293.09,68,100,3.36,RU,2022-08-11 19:40:01,overcast clouds
14,Bluff,-46.6,168.3333,276.8,85,98,4.76,NZ,2022-08-11 19:33:40,overcast clouds
15,Upington,-28.4478,21.2561,286.36,38,12,2.57,ZA,2022-08-11 19:40:01,few clouds
16,Montepuez,-13.1256,38.9997,292.16,74,7,3.67,MZ,2022-08-11 19:40:02,clear sky
17,Sechura,-5.5569,-80.8222,296.84,58,72,6.49,PE,2022-08-11 19:31:42,broken clouds
18,Mikumi,-7.4041,36.9831,293.67,62,73,0.83,TZ,2022-08-11 19:40:02,broken clouds
19,Saint-Pierre,-21.3393,55.4781,293.66,73,0,3.09,RE,2022-08-11 19:30:31,clear sky
20,Hurricane,37.1753,-113.2899,306.34,32,99,3.49,US,2022-08-11 19:40:03,overcast clouds
21,Anju,39.6178,125.6647,291.37,88,49,0.96,KP,2022-08-11 19:40:03,scattered clouds
22,Kaitangata,-46.2817,169.8464,272.79,90,10,2.77,NZ,2022-08-11 19:40:04,clear sky
